Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein
3;Ufhausen bei Eiterfeld;X;50,76;9,8;1501;1501;MDT;Hessen;i
3;Ufhausen bei Eiterfeld;;50,76;9,8;1511;1511;MDT;Hessen;i
3;Wartmansrode;X;50,17;9,79;NN;NN;MDT;Franken;
6;Nieder-Altertheim bei WÃ¼rzburg;;49,729722;9,743889;1420;1420;MDT;Franken;i
3;Vttingen;Uttingen;49,8;9,73;1410;1410;MDT;Franken;i
3;Helmstatt;X;49,77;9,72;1410;1410;MDT;Franken;i
6;Remlingen bei Wertheim;X;49,804444;9,694167;1409;1409;MDT;Franken;
5;Fulda;X;50,555894;9,681372;1435;1435;MDT;Hessen;
3;Hofstetten/HofstÃ¤tten;X;50,03;9,66;1384;1384;MDT;Franken;
3;Hofstetten/HofstÃ¤tten;X;50,03;9,66;1456;1456;MDT;Franken;
3;Dieffenthal;X;49,8;9,6;1449;1449;MDT;Franken;
6;Rotenfels bei Lohr und Wertheim;X;49,890296;9,59018;1494;1494;MDT;Franken;
3;Lichenrode;X;51,02;9,59;1388;1388;MDT;Hessen;
3;Lohr;X;49,99;9,58;1425;1425;MDT;Franken;
6;Neustadt Erlach ;;49,929748;9,574894;1494;1494;MDT;Franken;ei
3;Flieden bei SchlÃ¼chtern;X;50,42;9,57;1442;1442;MDT;Hessen;
3;Haidenfeld;X;49,76;9,52;1420;1420;MDT;Franken;
3;Salzschlirf;X;50,62;9,51;1506;1506;MDT;Hessen;i
3;Salzschlirf;X;50,62;9,51;1748;1748;MDT;Hessen;ei
3;Schlechtenwegen;X;50,54;9,43;1417;1417;MDT;Hessen;
